layer, class_0   , class_1 , class_2, class_3, class_4, class_5   , class_6
layer, background, building, road   , car    , tree   , vegetation, human
0    , 14530     , 1111    , 207    , 521    , 1089   , 120       , 23
1    , 2814      , 396     , 175    , 158    , 169    , 38        , 0
2    , 6377      , 611     , 42     , 16     , 8      , 13        , 2
3    , 1690      , 615     , 707    , 71     , 95     , 25        , 1
4    , 3326      , 491     , 192    , 38     , 40     , 8         , 2
5    , 2766      , 231     , 443    , 45     , 13     , 15        , 2
6    , 2278      , 377     , 1021   , 15     , 26     , 18        , 0
7    , 1671      , 226     , 288    , 31     , 56     , 47        , 4
8    , 3964      , 147     , 80     , 6      , 16     , 9         , 1
9    , 2364      , 90      , 51     , 10     , 32     , 6         , 1
10   , 1104      , 175     , 92     , 7      , 20     , 16        , 2
11   , 1975      , 214     , 87     , 7      , 9      , 42        , 1
12   , 1360      , 260     , 82     , 28     , 21     , 35        , 4
13   , 1306      , 229     , 492    , 84     , 72     , 41        , 0
14   , 3852      , 579     , 91     , 12     , 81     , 21        , 4
15   , 983       , 508     , 230    , 26     , 123    , 35        , 17
16   , 5479      , 63      , 417    , 26     , 49     , 69        , 9
17   , 2649      , 328     , 101    , 35     , 40     , 139       , 7
18   , 2890      , 38      , 328    , 19     , 118    , 96        , 6
19   , 4172      , 33      , 47     , 7      , 23     , 104       , 11
20   , 1674      , 49      , 127    , 21     , 57     , 49        , 11
21   , 3025      , 158     , 91     , 0      , 47     , 88        , 9
22   , 2032      , 197     , 81     , 7      , 139    , 45        , 16
23   , 35        , 18640   , 11162  , 506    , 7265   , 13671     , 0
