layer, class_0   , class_1 , class_2, class_3, class_4, class_5   , class_6
layer, background, building, road   , car    , tree   , vegetation, human
0    , 13097     , 449     , 69     , 211    , 62     , 23        , 4
1    , 2582      , 187     , 58     , 33     , 15     , 4         , 0
2    , 3779      , 201     , 30     , 3      , 1      , 4         , 1
3    , 1190      , 114     , 214    , 11     , 6      , 3         , 0
4    , 1313      , 71      , 123    , 4      , 11     , 4         , 1
5    , 914       , 18      , 171    , 3      , 1      , 5         , 1
6    , 721       , 21      , 51     , 0      , 3      , 6         , 0
7    , 430       , 9       , 5      , 0      , 2      , 1         , 2
8    , 539       , 9       , 4      , 1      , 3      , 2         , 1
9    , 274       , 11      , 1      , 0      , 3      , 2         , 0
10   , 82        , 18      , 3      , 1      , 5      , 1         , 0
11   , 45        , 30      , 21     , 0      , 0      , 7         , 0
12   , 25        , 31      , 36     , 7      , 6      , 4         , 2
13   , 11        , 136     , 279    , 15     , 27     , 10        , 0
14   , 17        , 338     , 49     , 6      , 29     , 3         , 1
15   , 3         , 335     , 104    , 4      , 37     , 8         , 10
16   , 33        , 35      , 126    , 6      , 18     , 42        , 3
17   , 23        , 35      , 55     , 9      , 12     , 58        , 3
18   , 15        , 3       , 83     , 0      , 29     , 16        , 1
19   , 24        , 2       , 6      , 1      , 3      , 38        , 1
20   , 5         , 3       , 26     , 0      , 11     , 14        , 1
21   , 0         , 1       , 0      , 0      , 1      , 5         , 0
22   , 0         , 0       , 0      , 0      , 0      , 0         , 0
23   , 0         , 0       , 0      , 0      , 0      , 0         , 0
