layer, class_0   , class_1 , class_2, class_3, class_4, class_5   , class_6
layer, background, building, road   , car    , tree   , vegetation, human
0    , 9746      , 1       , 1      , 1      , 0      , 0         , 1
1    , 1882      , 0       , 1      , 0      , 0      , 0         , 0
2    , 2620      , 1       , 0      , 0      , 0      , 0         , 0
3    , 899       , 0       , 14     , 0      , 0      , 0         , 0
4    , 1003      , 1       , 3      , 0      , 0      , 0         , 0
5    , 619       , 0       , 5      , 0      , 0      , 0         , 0
6    , 542       , 1       , 26     , 0      , 0      , 1         , 0
7    , 262       , 0       , 4      , 0      , 0      , 0         , 2
8    , 370       , 0       , 0      , 0      , 1      , 0         , 0
9    , 209       , 0       , 0      , 0      , 0      , 0         , 0
10   , 63        , 3       , 5      , 0      , 3      , 0         , 0
11   , 33        , 34      , 33     , 0      , 0      , 3         , 1
12   , 19        , 8       , 40     , 0      , 2      , 1         , 2
13   , 9         , 85      , 327    , 5      , 14     , 2         , 0
14   , 21        , 264     , 52     , 3      , 17     , 1         , 2
15   , 3         , 194     , 98     , 1      , 20     , 4         , 11
16   , 31        , 29      , 122    , 2      , 18     , 34        , 3
17   , 16        , 25      , 51     , 6      , 7      , 53        , 2
18   , 14        , 4       , 86     , 0      , 25     , 17        , 1
19   , 24        , 7       , 8      , 1      , 3      , 47        , 1
20   , 5         , 3       , 26     , 0      , 11     , 14        , 1
21   , 10        , 5       , 21     , 0      , 18     , 49        , 4
22   , 0         , 36      , 29     , 0      , 15     , 14        , 0
23   , 0         , 15005   , 8409   , 410    , 6859   , 13130     , 0
