layer, class_0_count, class_0_ratio, class_1_count, class_1_ratio, class_2_count, class_2_ratio, class_3_count, class_3_ratio, class_4_count, class_4_ratio, class_5_count, class_5_ratio, class_6_count, class_6_ratio
    0,          9746,      0.336208,             1,      0.000039,             1,      0.000065,             1,      0.000311,             0,      0.000000,             0,      0.000000,             1,      0.007463
    1,          1882,      0.064923,             0,      0.000000,             1,      0.000065,             0,      0.000000,             0,      0.000000,             0,      0.000000,             0,      0.000000
    2,          2620,      0.090382,             1,      0.000039,             0,      0.000000,             0,      0.000000,             0,      0.000000,             0,      0.000000,             0,      0.000000
    3,           899,      0.031013,             0,      0.000000,            14,      0.000903,             0,      0.000000,             0,      0.000000,             0,      0.000000,             0,      0.000000
    4,          1003,      0.034601,             1,      0.000039,             3,      0.000194,             0,      0.000000,             0,      0.000000,             0,      0.000000,             0,      0.000000
    5,           619,      0.021354,             0,      0.000000,             5,      0.000323,             0,      0.000000,             0,      0.000000,             0,      0.000000,             0,      0.000000
    6,           542,      0.018697,             1,      0.000039,            26,      0.001677,             0,      0.000000,             0,      0.000000,             1,      0.000047,             0,      0.000000
    7,           262,      0.009038,             0,      0.000000,             4,      0.000258,             0,      0.000000,             0,      0.000000,             0,      0.000000,             2,      0.014925
    8,           370,      0.012764,             0,      0.000000,             0,      0.000000,             0,      0.000000,             1,      0.000028,             0,      0.000000,             0,      0.000000
    9,           209,      0.007210,             0,      0.000000,             0,      0.000000,             0,      0.000000,             0,      0.000000,             0,      0.000000,             0,      0.000000
   10,            63,      0.002173,             3,      0.000118,             5,      0.000323,             0,      0.000000,             3,      0.000085,             0,      0.000000,             0,      0.000000
   11,            33,      0.001138,            34,      0.001343,            33,      0.002129,             0,      0.000000,             0,      0.000000,             3,      0.000142,             1,      0.007463
   12,            19,      0.000655,             8,      0.000316,            40,      0.002580,             0,      0.000000,             2,      0.000057,             1,      0.000047,             2,      0.014925
   13,             9,      0.000310,            85,      0.003357,           327,      0.021093,             5,      0.001555,            14,      0.000397,             2,      0.000094,             0,      0.000000
   14,            21,      0.000724,           264,      0.010426,            52,      0.003354,             3,      0.000933,            17,      0.000482,             1,      0.000047,             2,      0.014925
   15,             3,      0.000103,           194,      0.007661,            98,      0.006321,             1,      0.000311,            20,      0.000568,             4,      0.000189,            11,      0.082090
   16,            31,      0.001069,            29,      0.001145,           122,      0.007869,             2,      0.000622,            18,      0.000511,            34,      0.001604,             3,      0.022388
   17,            16,      0.000552,            25,      0.000987,            51,      0.003290,             6,      0.001866,             7,      0.000199,            53,      0.002500,             2,      0.014925
   18,            14,      0.000483,             4,      0.000158,            86,      0.005547,             0,      0.000000,            25,      0.000709,            17,      0.000802,             1,      0.007463
   19,            24,      0.000828,             7,      0.000276,             8,      0.000516,             1,      0.000311,             3,      0.000085,            47,      0.002217,             1,      0.007463
   20,             5,      0.000172,             3,      0.000118,            26,      0.001677,             0,      0.000000,            11,      0.000312,            14,      0.000660,             1,      0.007463
   21,            10,      0.000345,             5,      0.000197,            21,      0.001355,             0,      0.000000,            18,      0.000511,            49,      0.002311,             4,      0.029851
   22,             0,      0.000000,             0,      0.000000,             0,      0.000000,             0,      0.000000,             0,      0.000000,             0,      0.000000,             0,      0.000000
   23,             0,      0.000000,             0,      0.000000,             0,      0.000000,             0,      0.000000,             0,      0.000000,             0,      0.000000,             0,      0.000000
