layer_from, layer_to, value , ratio
         0,        1,  86029, 0.663804
         1,        2,  94474, 0.728966
         2,        3, 102258, 0.789028
         3,        4, 100722, 0.777176
         4,        5, 104700, 0.807870
         5,        6, 103270, 0.796836
         6,        7,  99662, 0.768997
         7,        8,  97710, 0.753935
         8,        9, 106641, 0.822847
         9,       10, 106361, 0.820687
        10,       11, 101919, 0.786412
        11,       12, 103049, 0.795131
        12,       13,  95275, 0.735147
        13,       14,  94825, 0.731674
        14,       15,  91186, 0.703596
        15,       16,  94169, 0.726613
        16,       17,  97749, 0.754236
        17,       18, 101562, 0.783657
        18,       19, 104102, 0.803256
        19,       20, 106277, 0.820039
        20,       21, 107779, 0.831628
        21,       22, 108283, 0.835517
        22,       23,   2233, 0.017230
