layer, layer_0 , layer_1 , layer_2 , layer_3 , layer_4 , layer_5 , layer_6 , layer_7 , layer_8 , layer_9 , layer_10, layer_11, layer_12, layer_13, layer_14, layer_15, layer_16, layer_17, layer_18, layer_19, layer_20, layer_21, layer_22, layer_23
    0, 1.000000, 0.930174, 0.843205, 0.729569, 0.620046, 0.569192, 0.507462, 0.464266, 0.437580, 0.411331, 0.387960, 0.380751, 0.372798, 0.354913, 0.344718, 0.333053, 0.320671, 0.323092, 0.332078, 0.331355, 0.335550, 0.337735, 0.324406, 0.335690
    1, 0.930174, 1.000000, 0.924585, 0.829420, 0.717795, 0.654218, 0.582212, 0.527520, 0.483251, 0.448194, 0.419593, 0.407723, 0.396200, 0.376081, 0.361422, 0.345454, 0.330400, 0.327883, 0.334186, 0.335029, 0.337998, 0.334930, 0.315825, 0.329967
    2, 0.843205, 0.924585, 1.000000, 0.908864, 0.808467, 0.742447, 0.648948, 0.587143, 0.532992, 0.489020, 0.451788, 0.436259, 0.420358, 0.394462, 0.377855, 0.360736, 0.344457, 0.341978, 0.350270, 0.350299, 0.354442, 0.348790, 0.329492, 0.338009
    3, 0.729569, 0.829420, 0.908864, 1.000000, 0.917370, 0.834732, 0.748292, 0.671408, 0.594125, 0.536981, 0.488872, 0.461435, 0.437195, 0.403660, 0.379934, 0.361423, 0.342797, 0.337139, 0.339837, 0.339441, 0.342248, 0.334318, 0.313555, 0.310487
    4, 0.620046, 0.717795, 0.808467, 0.917370, 1.000000, 0.918695, 0.831660, 0.743331, 0.646048, 0.574214, 0.515149, 0.480088, 0.450544, 0.410856, 0.383452, 0.365370, 0.345820, 0.338765, 0.340475, 0.339383, 0.343573, 0.337375, 0.316047, 0.296065
    5, 0.569192, 0.654218, 0.742447, 0.834732, 0.918695, 1.000000, 0.896412, 0.811335, 0.706058, 0.622146, 0.555897, 0.513557, 0.478576, 0.432748, 0.403630, 0.381447, 0.358365, 0.349011, 0.351346, 0.348474, 0.353271, 0.346598, 0.326817, 0.294273
    6, 0.507462, 0.582212, 0.648948, 0.748292, 0.831660, 0.896412, 1.000000, 0.901153, 0.782800, 0.685750, 0.604567, 0.551552, 0.503867, 0.450237, 0.415355, 0.390131, 0.366666, 0.356543, 0.355107, 0.351661, 0.350521, 0.347873, 0.331409, 0.287951
    7, 0.464266, 0.527520, 0.587143, 0.671408, 0.743331, 0.811335, 0.901153, 1.000000, 0.867364, 0.762759, 0.667218, 0.602730, 0.541958, 0.482877, 0.442918, 0.412387, 0.387166, 0.374737, 0.369788, 0.362527, 0.359450, 0.355103, 0.336114, 0.280316
    8, 0.437580, 0.483251, 0.532992, 0.594125, 0.646048, 0.706058, 0.782800, 0.867364, 1.000000, 0.867262, 0.764861, 0.685295, 0.615221, 0.546599, 0.498203, 0.462235, 0.430760, 0.416562, 0.408391, 0.399034, 0.392605, 0.389643, 0.369381, 0.299265
    9, 0.411331, 0.448194, 0.489020, 0.536981, 0.574214, 0.622146, 0.685750, 0.762759, 0.867262, 1.000000, 0.868760, 0.771016, 0.687485, 0.608616, 0.551308, 0.506977, 0.469412, 0.449129, 0.436779, 0.424648, 0.416971, 0.410939, 0.387829, 0.302340
   10, 0.387960, 0.419593, 0.451788, 0.488872, 0.515149, 0.555897, 0.604567, 0.667218, 0.764861, 0.868760, 1.000000, 0.870162, 0.770902, 0.681658, 0.615875, 0.562685, 0.515836, 0.490150, 0.472889, 0.459179, 0.448508, 0.438310, 0.412224, 0.306422
   11, 0.380751, 0.407723, 0.436259, 0.461435, 0.480088, 0.513557, 0.551552, 0.602730, 0.685295, 0.771016, 0.870162, 1.000000, 0.871453, 0.771140, 0.695667, 0.630026, 0.575454, 0.542028, 0.519512, 0.503717, 0.490246, 0.475524, 0.447766, 0.299754
   12, 0.372798, 0.396200, 0.420358, 0.437195, 0.450544, 0.478576, 0.503867, 0.541958, 0.615221, 0.687485, 0.770902, 0.871453, 1.000000, 0.871099, 0.781574, 0.705828, 0.638575, 0.598254, 0.569136, 0.548056, 0.532571, 0.511422, 0.480040, 0.311883
   13, 0.354913, 0.376081, 0.394462, 0.403660, 0.410856, 0.432748, 0.450237, 0.482877, 0.546599, 0.608616, 0.681658, 0.771140, 0.871099, 1.000000, 0.884910, 0.795999, 0.718304, 0.663257, 0.623557, 0.597228, 0.573668, 0.548813, 0.512242, 0.297617
   14, 0.344718, 0.361422, 0.377855, 0.379934, 0.383452, 0.403630, 0.415355, 0.442918, 0.498203, 0.551308, 0.615875, 0.695667, 0.781574, 0.884910, 1.000000, 0.890736, 0.807868, 0.744008, 0.693037, 0.660168, 0.632067, 0.600483, 0.558413, 0.300558
   15, 0.333053, 0.345454, 0.360736, 0.361423, 0.365370, 0.381447, 0.390131, 0.412387, 0.462235, 0.506977, 0.562685, 0.630026, 0.705828, 0.795999, 0.890736, 1.000000, 0.896754, 0.822015, 0.760028, 0.720103, 0.684381, 0.649912, 0.605912, 0.290528
   16, 0.320671, 0.330400, 0.344457, 0.342797, 0.345820, 0.358365, 0.366666, 0.387166, 0.430760, 0.469412, 0.515836, 0.575454, 0.638575, 0.718304, 0.807868, 0.896754, 1.000000, 0.909465, 0.836776, 0.786931, 0.741837, 0.699231, 0.648830, 0.275046
   17, 0.323092, 0.327883, 0.341978, 0.337139, 0.338765, 0.349011, 0.356543, 0.374737, 0.416562, 0.449129, 0.490150, 0.542028, 0.598254, 0.663257, 0.744008, 0.822015, 0.909465, 1.000000, 0.914860, 0.859708, 0.807458, 0.758541, 0.700260, 0.286861
   18, 0.332078, 0.334186, 0.350270, 0.339837, 0.340475, 0.351346, 0.355107, 0.369788, 0.408391, 0.436779, 0.472889, 0.519512, 0.569136, 0.623557, 0.693037, 0.760028, 0.836776, 0.914860, 1.000000, 0.934135, 0.877147, 0.821318, 0.757820, 0.284358
   19, 0.331355, 0.335029, 0.350299, 0.339441, 0.339383, 0.348474, 0.351661, 0.362527, 0.399034, 0.424648, 0.459179, 0.503717, 0.548056, 0.597228, 0.660168, 0.720103, 0.786931, 0.859708, 0.934135, 1.000000, 0.934579, 0.868972, 0.795106, 0.284791
   20, 0.335550, 0.337998, 0.354442, 0.342248, 0.343573, 0.353271, 0.350521, 0.359450, 0.392605, 0.416971, 0.448508, 0.490246, 0.532571, 0.573668, 0.632067, 0.684381, 0.741837, 0.807458, 0.877147, 0.934579, 1.000000, 0.915927, 0.831402, 0.289454
   21, 0.337735, 0.334930, 0.348790, 0.334318, 0.337375, 0.346598, 0.347873, 0.355103, 0.389643, 0.410939, 0.438310, 0.475524, 0.511422, 0.548813, 0.600483, 0.649912, 0.699231, 0.758541, 0.821318, 0.868972, 0.915927, 1.000000, 0.905743, 0.258018
   22, 0.324406, 0.315825, 0.329492, 0.313555, 0.316047, 0.326817, 0.331409, 0.336114, 0.369381, 0.387829, 0.412224, 0.447766, 0.480040, 0.512242, 0.558413, 0.605912, 0.648830, 0.700260, 0.757820, 0.795106, 0.831402, 0.905743, 1.000000, 0.155055
   23, 0.335690, 0.329967, 0.338009, 0.310487, 0.296065, 0.294273, 0.287951, 0.280316, 0.299265, 0.302340, 0.306422, 0.299754, 0.311883, 0.297617, 0.300558, 0.290528, 0.275046, 0.286861, 0.284358, 0.284791, 0.289454, 0.258018, 0.155055, 1.000000
