layer, layer_0 , layer_1 , layer_2 , layer_3 , layer_4 , layer_5 , layer_6 , layer_7 , layer_8 , layer_9 , layer_10, layer_11, layer_12, layer_13, layer_14, layer_15, layer_16, layer_17, layer_18, layer_19, layer_20, layer_21 , layer_22 , layer_23
    0, 1.000000, 0.907268, 0.792227, 0.650533, 0.513370, 0.447016, 0.371596, 0.319363, 0.267817, 0.233583, 0.198878, 0.183523, 0.165541, 0.145540, 0.130263, 0.110474, 0.100659, 0.090889, 0.093058, 0.089131, 0.088260, 0.072047 , 0.065293 , 0.104286
    1, 0.907268, 1.000000, 0.902644, 0.784325, 0.643538, 0.559516, 0.466262, 0.398254, 0.328575, 0.283908, 0.243029, 0.221320, 0.197498, 0.176207, 0.156110, 0.130448, 0.115450, 0.099199, 0.098091, 0.094153, 0.093676, 0.071332 , 0.055016 , 0.107764
    2, 0.792227, 0.902644, 1.000000, 0.885088, 0.757356, 0.675135, 0.549670, 0.473027, 0.392920, 0.333815, 0.282978, 0.255949, 0.226583, 0.197075, 0.174423, 0.142997, 0.127082, 0.110854, 0.112520, 0.107878, 0.109711, 0.082116 , 0.065289 , 0.109091
    3, 0.650533, 0.784325, 0.885088, 1.000000, 0.897849, 0.794649, 0.682479, 0.586347, 0.481629, 0.407354, 0.343180, 0.302546, 0.264921, 0.227049, 0.197324, 0.165460, 0.144481, 0.125569, 0.119719, 0.114632, 0.115493, 0.088793 , 0.069630 , 0.092786
    4, 0.513370, 0.643538, 0.757356, 0.897849, 1.000000, 0.896622, 0.788791, 0.676231, 0.547541, 0.455307, 0.378408, 0.328742, 0.284286, 0.239733, 0.205217, 0.174861, 0.152314, 0.132831, 0.123314, 0.116467, 0.117955, 0.093893 , 0.076343 , 0.079118
    5, 0.447016, 0.559516, 0.675135, 0.794649, 0.896622, 1.000000, 0.866475, 0.759306, 0.624407, 0.517134, 0.430610, 0.371144, 0.319208, 0.268157, 0.230516, 0.193367, 0.168071, 0.147555, 0.141887, 0.135444, 0.135691, 0.109528 , 0.092745 , 0.074305
    6, 0.371596, 0.466262, 0.549670, 0.682479, 0.788791, 0.866475, 1.000000, 0.877176, 0.725977, 0.604241, 0.501872, 0.429004, 0.365276, 0.305320, 0.261212, 0.224970, 0.196450, 0.176944, 0.163763, 0.154091, 0.148869, 0.132664 , 0.121464 , 0.071863
    7, 0.319363, 0.398254, 0.473027, 0.586347, 0.676231, 0.759306, 0.877176, 1.000000, 0.840057, 0.707587, 0.589454, 0.505573, 0.429752, 0.360634, 0.309755, 0.268111, 0.235281, 0.214402, 0.201619, 0.188845, 0.181684, 0.163840 , 0.151369 , 0.065570
    8, 0.267817, 0.328575, 0.392920, 0.481629, 0.547541, 0.624407, 0.725977, 0.840057, 1.000000, 0.834607, 0.707034, 0.606381, 0.516283, 0.435221, 0.376392, 0.326629, 0.287069, 0.263183, 0.245878, 0.230258, 0.218428, 0.201334 , 0.189552 , 0.065595
    9, 0.233583, 0.283908, 0.333815, 0.407354, 0.455307, 0.517134, 0.604241, 0.707587, 0.834607, 1.000000, 0.837597, 0.715480, 0.609601, 0.515886, 0.445621, 0.386194, 0.339668, 0.310303, 0.288098, 0.268135, 0.252601, 0.230859 , 0.217821 , 0.070259
   10, 0.198878, 0.243029, 0.282978, 0.343180, 0.378408, 0.430610, 0.501872, 0.589454, 0.707034, 0.837597, 1.000000, 0.843441, 0.723248, 0.617423, 0.537685, 0.469137, 0.412922, 0.375982, 0.348740, 0.325152, 0.305676, 0.278193 , 0.260933 , 0.070316
   11, 0.183523, 0.221320, 0.255949, 0.302546, 0.328742, 0.371144, 0.429004, 0.505573, 0.606381, 0.715480, 0.843441, 1.000000, 0.846882, 0.728552, 0.638182, 0.556325, 0.489887, 0.445414, 0.411475, 0.385148, 0.363102, 0.330698 , 0.312205 , 0.061184
   12, 0.165541, 0.197498, 0.226583, 0.264921, 0.284286, 0.319208, 0.365276, 0.429752, 0.516283, 0.609601, 0.723248, 0.846882, 1.000000, 0.849110, 0.745326, 0.654920, 0.574158, 0.521271, 0.478890, 0.447412, 0.421381, 0.379572 , 0.356016 , 0.071518
   13, 0.145540, 0.176207, 0.197075, 0.227049, 0.239733, 0.268157, 0.305320, 0.360634, 0.435221, 0.515886, 0.617423, 0.728552, 0.849110, 1.000000, 0.865911, 0.761371, 0.668929, 0.599626, 0.546017, 0.507543, 0.473305, 0.426904 , 0.399812 , 0.054275
   14, 0.130263, 0.156110, 0.174423, 0.197324, 0.205217, 0.230516, 0.261212, 0.309755, 0.376392, 0.445621, 0.537685, 0.638182, 0.745326, 0.865911, 1.000000, 0.873553, 0.774872, 0.696753, 0.630989, 0.585737, 0.545652, 0.495890 , 0.460975 , 0.059424
   15, 0.110474, 0.130448, 0.142997, 0.165460, 0.174861, 0.193367, 0.224970, 0.268111, 0.326629, 0.386194, 0.469137, 0.556325, 0.654920, 0.761371, 0.873553, 1.000000, 0.880805, 0.793849, 0.714759, 0.660863, 0.612150, 0.556643 , 0.518980 , 0.046386
   16, 0.100659, 0.115450, 0.127082, 0.144481, 0.152314, 0.168071, 0.196450, 0.235281, 0.287069, 0.339668, 0.412922, 0.489887, 0.574158, 0.668929, 0.774872, 0.880805, 1.000000, 0.895376, 0.808100, 0.744173, 0.684797, 0.618617 , 0.572641 , 0.041353
   17, 0.090889, 0.099199, 0.110854, 0.125569, 0.132831, 0.147555, 0.176944, 0.214402, 0.263183, 0.310303, 0.375982, 0.445414, 0.521271, 0.599626, 0.696753, 0.793849, 0.895376, 1.000000, 0.900990, 0.831326, 0.762649, 0.688895 , 0.637150 , 0.047103
   18, 0.093058, 0.098091, 0.112520, 0.119719, 0.123314, 0.141887, 0.163763, 0.201619, 0.245878, 0.288098, 0.348740, 0.411475, 0.478890, 0.546017, 0.630989, 0.714759, 0.808100, 0.900990, 1.000000, 0.919877, 0.842356, 0.756042 , 0.698258 , 0.035295
   19, 0.089131, 0.094153, 0.107878, 0.114632, 0.116467, 0.135444, 0.154091, 0.188845, 0.230258, 0.268135, 0.325152, 0.385148, 0.447412, 0.507543, 0.585737, 0.660863, 0.744173, 0.831326, 0.919877, 1.000000, 0.917171, 0.820195 , 0.745986 , 0.034158
   20, 0.088260, 0.093676, 0.109711, 0.115493, 0.117955, 0.135691, 0.148869, 0.181684, 0.218428, 0.252601, 0.305676, 0.363102, 0.421381, 0.473305, 0.545652, 0.612150, 0.684797, 0.762649, 0.842356, 0.917171, 1.000000, 0.883976 , 0.788779 , 0.041055
   21, 0.072047, 0.071332, 0.082116, 0.088793, 0.093893, 0.109528, 0.132664, 0.163840, 0.201334, 0.230859, 0.278193, 0.330698, 0.379572, 0.426904, 0.495890, 0.556643, 0.618617, 0.688895, 0.756042, 0.820195, 0.883976, 1.000000 , 0.876471 , -0.008709
   22, 0.065293, 0.055016, 0.065289, 0.069630, 0.076343, 0.092745, 0.121464, 0.151369, 0.189552, 0.217821, 0.260933, 0.312205, 0.356016, 0.399812, 0.460975, 0.518980, 0.572641, 0.637150, 0.698258, 0.745986, 0.788779, 0.876471 , 1.000000 , -0.114604
   23, 0.104286, 0.107764, 0.109091, 0.092786, 0.079118, 0.074305, 0.071863, 0.065570, 0.065595, 0.070259, 0.070316, 0.061184, 0.071518, 0.054275, 0.059424, 0.046386, 0.041353, 0.047103, 0.035295, 0.034158, 0.041055, -0.008709, -0.114604, 1.000000
