layer, layer_0 , layer_1  , layer_2  , layer_3 , layer_4  , layer_5  , layer_6  , layer_7  , layer_8  , layer_9  , layer_10 , layer_11 , layer_12 , layer_13 , layer_14 , layer_15 , layer_16 , layer_17 , layer_18 , layer_19 , layer_20 , layer_21 , layer_22 , layer_23
    0, 1.000000, 0.902468 , 0.779394 , 0.635781, 0.488036 , 0.419606 , 0.336386 , 0.283413 , 0.230217 , 0.193505 , 0.157143 , 0.137605 , 0.117669 , 0.094522 , 0.075707 , 0.053590 , 0.044681 , 0.032133 , 0.031841 , 0.028405 , 0.025697 , 0.012168 , 0.006667 , 0.016295
    1, 0.902468, 1.000000 , 0.891321 , 0.769976, 0.620181 , 0.529784 , 0.431541 , 0.360814 , 0.287913 , 0.240119 , 0.196879 , 0.170127 , 0.144045 , 0.119905 , 0.095292 , 0.067899 , 0.055054 , 0.035953 , 0.031411 , 0.028138 , 0.025835 , 0.007993 , -0.006429, 0.019175
    2, 0.779394, 0.891321 , 1.000000 , 0.872201, 0.732710 , 0.652882 , 0.511620 , 0.431605 , 0.348853 , 0.286185 , 0.230572 , 0.196843 , 0.164770 , 0.131800 , 0.103648 , 0.066952 , 0.055529 , 0.036045 , 0.040878 , 0.039312 , 0.038870 , 0.012008 , -0.003772, 0.022252
    3, 0.635781, 0.769976 , 0.872201 , 1.000000, 0.890149 , 0.778724 , 0.663109 , 0.561231 , 0.450544 , 0.372077 , 0.302374 , 0.255656 , 0.214219 , 0.173443 , 0.137159 , 0.102184 , 0.084047 , 0.060982 , 0.054271 , 0.049774 , 0.047787 , 0.024975 , 0.008117 , 0.007691
    4, 0.488036, 0.620181 , 0.732710 , 0.890149, 1.000000 , 0.884181 , 0.776186 , 0.656858 , 0.520388 , 0.423201 , 0.341099 , 0.286756 , 0.238181 , 0.190945 , 0.149929 , 0.117477 , 0.096211 , 0.072237 , 0.059438 , 0.051698 , 0.050864 , 0.031655 , 0.016463 , -0.006319
    5, 0.419606, 0.529784 , 0.652882 , 0.778724, 0.884181 , 1.000000 , 0.852176 , 0.739954 , 0.599326 , 0.486772 , 0.393736 , 0.327270 , 0.271563 , 0.216452 , 0.172363 , 0.129026 , 0.107291 , 0.082423 , 0.079490 , 0.074928 , 0.072351 , 0.046515 , 0.030700 , -0.004942
    6, 0.336386, 0.431541 , 0.511620 , 0.663109, 0.776186 , 0.852176 , 1.000000 , 0.871290 , 0.711617 , 0.583513 , 0.475792 , 0.399021 , 0.331228 , 0.267560 , 0.217361 , 0.178601 , 0.149972 , 0.125954 , 0.107899 , 0.096465 , 0.088727 , 0.078504 , 0.069209 , -0.012574
    7, 0.283413, 0.360814 , 0.431605 , 0.561231, 0.656858 , 0.739954 , 0.871290 , 1.000000 , 0.832509 , 0.694424 , 0.570691 , 0.482502 , 0.401839 , 0.328472 , 0.271319 , 0.226611 , 0.193322 , 0.168736 , 0.152073 , 0.136601 , 0.125403 , 0.112835 , 0.103276 , -0.017137
    8, 0.230217, 0.287913 , 0.348853 , 0.450544, 0.520388 , 0.599326 , 0.711617 , 0.832509 , 1.000000 , 0.828216 , 0.695206 , 0.589608 , 0.494351 , 0.408269 , 0.343373 , 0.289830 , 0.249948 , 0.222853 , 0.203581 , 0.185202 , 0.167466 , 0.154668 , 0.145947 , -0.018150
    9, 0.193505, 0.240119 , 0.286185 , 0.372077, 0.423201 , 0.486772 , 0.583513 , 0.694424 , 0.828216 , 1.000000 , 0.832217 , 0.705716 , 0.594876 , 0.495623 , 0.419348 , 0.355598 , 0.308403 , 0.276448 , 0.252691 , 0.229901 , 0.207432 , 0.189255 , 0.179328 , -0.015252
   10, 0.157143, 0.196879 , 0.230572 , 0.302374, 0.341099 , 0.393736 , 0.475792 , 0.570691 , 0.695206 , 0.832217 , 1.000000 , 0.837979 , 0.712307 , 0.600976 , 0.514861 , 0.441995 , 0.384493 , 0.344605 , 0.314810 , 0.287758 , 0.261276 , 0.237683 , 0.223484 , -0.016222
   11, 0.137605, 0.170127 , 0.196843 , 0.255656, 0.286756 , 0.327270 , 0.399021 , 0.482502 , 0.589608 , 0.705716 , 0.837979 , 1.000000 , 0.839365 , 0.715141 , 0.618409 , 0.532106 , 0.464132 , 0.415620 , 0.376877 , 0.346148 , 0.317898 , 0.290705 , 0.275294 , -0.027789
   12, 0.117669, 0.144045 , 0.164770 , 0.214219, 0.238181 , 0.271563 , 0.331228 , 0.401839 , 0.494351 , 0.594876 , 0.712307 , 0.839365 , 1.000000 , 0.841044 , 0.730186 , 0.634312 , 0.551011 , 0.493023 , 0.444935 , 0.408924 , 0.377534 , 0.339296 , 0.318431 , -0.018467
   13, 0.094522, 0.119905 , 0.131800 , 0.173443, 0.190945 , 0.216452 , 0.267560 , 0.328472 , 0.408269 , 0.495623 , 0.600976 , 0.715141 , 0.841044 , 1.000000 , 0.858560 , 0.748213 , 0.652321 , 0.577662 , 0.516649 , 0.473327 , 0.434323 , 0.391868 , 0.367524 , -0.038263
   14, 0.075707, 0.095292 , 0.103648 , 0.137159, 0.149929 , 0.172363 , 0.217361 , 0.271319 , 0.343373 , 0.419348 , 0.514861 , 0.618409 , 0.730186 , 0.858560 , 1.000000 , 0.866271 , 0.763687 , 0.680047 , 0.606410 , 0.555990 , 0.511420 , 0.464480 , 0.431952 , -0.034847
   15, 0.053590, 0.067899 , 0.066952 , 0.102184, 0.117477 , 0.129026 , 0.178601 , 0.226611 , 0.289830 , 0.355598 , 0.441995 , 0.532106 , 0.634312 , 0.748213 , 0.866271 , 1.000000 , 0.875302 , 0.783009 , 0.693971 , 0.634014 , 0.581184 , 0.529653 , 0.494289 , -0.049080
   16, 0.044681, 0.055054 , 0.055529 , 0.084047, 0.096211 , 0.107291 , 0.149972 , 0.193322 , 0.249948 , 0.308403 , 0.384493 , 0.464132 , 0.551011 , 0.652321 , 0.763687 , 0.875302 , 1.000000 , 0.889913 , 0.794201 , 0.724628 , 0.661457 , 0.596330 , 0.551750 , -0.053837
   17, 0.032133, 0.035953 , 0.036045 , 0.060982, 0.072237 , 0.082423 , 0.125954 , 0.168736 , 0.222853 , 0.276448 , 0.344605 , 0.415620 , 0.493023 , 0.577662 , 0.680047 , 0.783009 , 0.889913 , 1.000000 , 0.893853 , 0.817889 , 0.743965 , 0.670323 , 0.619445 , -0.049869
   18, 0.031841, 0.031411 , 0.040878 , 0.054271, 0.059438 , 0.079490 , 0.107899 , 0.152073 , 0.203581 , 0.252691 , 0.314810 , 0.376877 , 0.444935 , 0.516649 , 0.606410 , 0.693971 , 0.794201 , 0.893853 , 1.000000 , 0.914692 , 0.830178 , 0.740012 , 0.682091 , -0.061224
   19, 0.028405, 0.028138 , 0.039312 , 0.049774, 0.051698 , 0.074928 , 0.096465 , 0.136601 , 0.185202 , 0.229901 , 0.287758 , 0.346148 , 0.408924 , 0.473327 , 0.555990 , 0.634014 , 0.724628 , 0.817889 , 0.914692 , 1.000000 , 0.910800 , 0.806598 , 0.730040 , -0.061220
   20, 0.025697, 0.025835 , 0.038870 , 0.047787, 0.050864 , 0.072351 , 0.088727 , 0.125403 , 0.167466 , 0.207432 , 0.261276 , 0.317898 , 0.377534 , 0.434323 , 0.511420 , 0.581184 , 0.661457 , 0.743965 , 0.830178 , 0.910800 , 1.000000 , 0.874793 , 0.774132 , -0.056941
   21, 0.012168, 0.007993 , 0.012008 , 0.024975, 0.031655 , 0.046515 , 0.078504 , 0.112835 , 0.154668 , 0.189255 , 0.237683 , 0.290705 , 0.339296 , 0.391868 , 0.464480 , 0.529653 , 0.596330 , 0.670323 , 0.740012 , 0.806598 , 0.874793 , 1.000000 , 0.869976 , -0.104086
   22, 0.006667, -0.006429, -0.003772, 0.008117, 0.016463 , 0.030700 , 0.069209 , 0.103276 , 0.145947 , 0.179328 , 0.223484 , 0.275294 , 0.318431 , 0.367524 , 0.431952 , 0.494289 , 0.551750 , 0.619445 , 0.682091 , 0.730040 , 0.774132 , 0.869976 , 1.000000 , -0.214153
   23, 0.016295, 0.019175 , 0.022252 , 0.007691, -0.006319, -0.004942, -0.012574, -0.017137, -0.018150, -0.015252, -0.016222, -0.027789, -0.018467, -0.038263, -0.034847, -0.049080, -0.053837, -0.049869, -0.061224, -0.061220, -0.056941, -0.104086, -0.214153, 1.000000
