layer_from, layer_to, value , ratio
         0,        1,  88549, 0.683248
         1,        2,  97735, 0.754128
         2,        3, 102333, 0.789606
         3,        4, 102363, 0.789838
         4,        5, 105341, 0.812816
         5,        6,  99926, 0.771034
         6,        7,  98197, 0.757693
         7,        8,  93621, 0.722384
         8,        9, 105491, 0.813974
         9,       10, 105900, 0.817130
        10,       11, 102836, 0.793488
        11,       12, 100183, 0.773017
        12,       13,  93906, 0.724583
        13,       14,  93534, 0.721713
        14,       15,  90766, 0.700355
        15,       16,  96497, 0.744576
        16,       17,  92813, 0.716150
        17,       18,  97851, 0.755023
        18,       19, 103256, 0.796728
        19,       20, 103902, 0.801713
        20,       21, 105148, 0.811327
        21,       22, 105686, 0.815478
        22,       23,   3853, 0.029730
