layer, layer_0 , layer_1 , layer_2 , layer_3 , layer_4 , layer_5 , layer_6 , layer_7 , layer_8 , layer_9 , layer_10, layer_11, layer_12, layer_13, layer_14, layer_15, layer_16, layer_17, layer_18, layer_19, layer_20, layer_21, layer_22, layer_23
    0, 1.000000, 0.926736, 0.837015, 0.717886, 0.608318, 0.552752, 0.492773, 0.452815, 0.425440, 0.398167, 0.372334, 0.363849, 0.359497, 0.341927, 0.330542, 0.319384, 0.309934, 0.310942, 0.319376, 0.319808, 0.324238, 0.322009, 0.303578, 0.317586
    1, 0.926736, 1.000000, 0.921139, 0.822314, 0.711500, 0.642007, 0.571977, 0.520118, 0.473967, 0.439361, 0.410207, 0.396072, 0.389090, 0.368960, 0.352062, 0.334719, 0.321729, 0.318295, 0.323430, 0.325656, 0.329362, 0.322251, 0.295416, 0.317046
    2, 0.837015, 0.921139, 1.000000, 0.906515, 0.808555, 0.737986, 0.645533, 0.584890, 0.529962, 0.486655, 0.447456, 0.429879, 0.417881, 0.392181, 0.372544, 0.354207, 0.340150, 0.336895, 0.343988, 0.344136, 0.350021, 0.339596, 0.311881, 0.327485
    3, 0.717886, 0.822314, 0.906515, 1.000000, 0.918281, 0.834228, 0.749266, 0.674519, 0.597887, 0.542558, 0.493794, 0.465505, 0.444061, 0.411371, 0.384125, 0.361718, 0.344602, 0.338506, 0.340719, 0.340753, 0.345580, 0.333475, 0.302771, 0.305920
    4, 0.608318, 0.711500, 0.808555, 0.918281, 1.000000, 0.919146, 0.833214, 0.747449, 0.652089, 0.583238, 0.524883, 0.488257, 0.461536, 0.423519, 0.392861, 0.369931, 0.351291, 0.343317, 0.344593, 0.343706, 0.349621, 0.339415, 0.308457, 0.293995
    5, 0.552752, 0.642007, 0.737986, 0.834228, 0.919146, 1.000000, 0.898229, 0.815721, 0.710633, 0.631804, 0.564419, 0.521558, 0.487892, 0.445140, 0.411830, 0.384379, 0.362920, 0.352188, 0.353649, 0.350962, 0.357814, 0.345190, 0.316272, 0.290969
    6, 0.492773, 0.571977, 0.645533, 0.749266, 0.833214, 0.898229, 1.000000, 0.907027, 0.790588, 0.698159, 0.619358, 0.564851, 0.518926, 0.467985, 0.429373, 0.398106, 0.375007, 0.362557, 0.359605, 0.355674, 0.355897, 0.347390, 0.321556, 0.283846
    7, 0.452815, 0.520118, 0.584890, 0.674519, 0.747449, 0.815721, 0.907027, 1.000000, 0.874344, 0.774982, 0.683751, 0.620687, 0.562312, 0.505614, 0.463308, 0.426437, 0.400850, 0.386341, 0.381356, 0.373287, 0.371517, 0.360808, 0.333527, 0.279577
    8, 0.425440, 0.473967, 0.529962, 0.597887, 0.652089, 0.710633, 0.790588, 0.874344, 1.000000, 0.875600, 0.776963, 0.700419, 0.631345, 0.564444, 0.515755, 0.472321, 0.441856, 0.425216, 0.417050, 0.407125, 0.401925, 0.392771, 0.362850, 0.295337
    9, 0.398167, 0.439361, 0.486655, 0.542558, 0.583238, 0.631804, 0.698159, 0.774982, 0.875600, 1.000000, 0.877109, 0.785893, 0.706279, 0.630500, 0.570747, 0.519814, 0.483165, 0.460041, 0.448493, 0.434003, 0.426810, 0.414342, 0.379147, 0.303061
