layer, layer_0 , layer_1  , layer_2  , layer_3 , layer_4  , layer_5 , layer_6  , layer_7  , layer_8  , layer_9  , layer_10 , layer_11 , layer_12 , layer_13 , layer_14 , layer_15 , layer_16 , layer_17 , layer_18 , layer_19 , layer_20 , layer_21 , layer_22 , layer_23
    0, 1.000000, 0.897923 , 0.772965 , 0.621811, 0.474136 , 0.402692, 0.321250 , 0.269545 , 0.217603 , 0.181224 , 0.144057 , 0.124943 , 0.111015 , 0.090766 , 0.069696 , 0.048870 , 0.042382 , 0.029609 , 0.030385 , 0.028423 , 0.023363 , 0.009958 , 0.003861 , 0.014129
    1, 0.897923, 1.000000 , 0.887435 , 0.762728, 0.614635 , 0.518715, 0.424592 , 0.354952 , 0.281753 , 0.235642 , 0.192087 , 0.165439 , 0.146246 , 0.124961 , 0.097081 , 0.070526 , 0.058969 , 0.039260 , 0.034998 , 0.033577 , 0.029245 , 0.011604 , -0.005371, 0.021298
    2, 0.772965, 0.887435 , 1.000000 , 0.869437, 0.733510 , 0.650115, 0.509745 , 0.428938 , 0.346258 , 0.284866 , 0.226493 , 0.192262 , 0.165490 , 0.133624 , 0.102035 , 0.066169 , 0.056866 , 0.036818 , 0.042590 , 0.042021 , 0.039378 , 0.012333 , -0.007086, 0.024039
    3, 0.621811, 0.762728 , 0.869437 , 1.000000, 0.891965 , 0.779514, 0.666030 , 0.565322 , 0.455659 , 0.379445 , 0.308691 , 0.262152 , 0.224398 , 0.186033 , 0.145829 , 0.108794 , 0.091865 , 0.068302 , 0.062146 , 0.057909 , 0.053876 , 0.029512 , 0.009188 , 0.011274
    4, 0.474136, 0.614635 , 0.733510 , 0.891965, 1.000000 , 0.885135, 0.778111 , 0.660782 , 0.526157 , 0.432783 , 0.350811 , 0.296551 , 0.251562 , 0.207904 , 0.162351 , 0.126015 , 0.105886 , 0.080500 , 0.068536 , 0.061195 , 0.057926 , 0.036064 , 0.018236 , -0.002007
    5, 0.402692, 0.518715 , 0.650115 , 0.779514, 0.885135 , 1.000000, 0.854456 , 0.743991 , 0.604533 , 0.497462 , 0.402732 , 0.336994 , 0.283269 , 0.230787 , 0.181130 , 0.132911 , 0.113330 , 0.086169 , 0.084177 , 0.080818 , 0.076288 , 0.046312 , 0.026209 , 0.001407
    6, 0.321250, 0.424592 , 0.509745 , 0.666030, 0.778111 , 0.854456, 1.000000 , 0.877805 , 0.721322 , 0.598766 , 0.493151 , 0.416460 , 0.352362 , 0.292284 , 0.237251 , 0.192970 , 0.164985 , 0.137867 , 0.119996 , 0.108513 , 0.097791 , 0.081544 , 0.067169 , -0.008422
    7, 0.269545, 0.354952 , 0.428938 , 0.565322, 0.660782 , 0.743991, 0.877805 , 1.000000 , 0.839816 , 0.706991 , 0.587809 , 0.501118 , 0.423413 , 0.352331 , 0.292246 , 0.240665 , 0.208310 , 0.180742 , 0.164619 , 0.148719 , 0.134467 , 0.115528 , 0.101511 , -0.011852
    8, 0.217603, 0.281753 , 0.346258 , 0.455659, 0.526157 , 0.604533, 0.721322 , 0.839816 , 1.000000 , 0.837135 , 0.708873 , 0.607178 , 0.514903 , 0.430816 , 0.363975 , 0.301109 , 0.262757 , 0.233630 , 0.214106 , 0.195309 , 0.173752 , 0.154503 , 0.138680 , -0.013596
    9, 0.181224, 0.235642 , 0.284866 , 0.379445, 0.432783 , 0.497462, 0.598766 , 0.706991 , 0.837135 , 1.000000 , 0.841309 , 0.721646 , 0.616121 , 0.520911 , 0.441318 , 0.367941 , 0.322317 , 0.286502 , 0.263741 , 0.238175 , 0.210853 , 0.184922 , 0.165407 , -0.008523
