layer, cosine_to_last
    0,       0.317586
    1,       0.317046
    2,       0.327485
    3,       0.305920
    4,       0.293995
    5,       0.290969
    6,       0.283846
    7,       0.279577
    8,       0.295337
    9,       0.303061
   10,       0.304162
   11,       0.289827
   12,       0.300254
   13,       0.286561
   14,       0.289151
   15,       0.280455
   16,       0.273732
   17,       0.281955
   18,       0.282057
   19,       0.281383
   20,       0.286720
   21,       0.228693
   22,       0.088664
   23,       1.000000
